CustomerID,CustomerType,Recency,Frequency,Monetary,FirstOrderDate,LastOrderDate
11000,Individual,271,3,8248.990000,2011-06-21 00:00:00.000,2013-10-03 00:00:00.000
11001,Individual,50,3,6383.880000,2011-06-17 00:00:00.000,2014-05-12 00:00:00.000
11002,Individual,340,3,8114.040000,2011-06-09 00:00:00.000,2013-07-26 00:00:00.000
11003,Individual,264,3,8139.290000,2011-05-31 00:00:00.000,2013-10-10 00:00:00.000
11004,Individual,273,3,8196.010000,2011-06-25 00:00:00.000,2013-10-01 00:00:00.000
11005,Individual,272,3,8121.330000,2011-06-01 00:00:00.000,2013-10-02 00:00:00.000
11006,Individual,260,3,8119.030000,2011-06-26 00:00:00.000,2013-10-14 00:00:00.000
11007,Individual,316,3,8211.000000,2011-06-11 00:00:00.000,2013-08-19 00:00:00.000
11008,Individual,333,3,8106.310000,2011-06-27 00:00:00.000,2013-08-02 00:00:00.000
11009,Individual,265,3,8091.330000,2011-06-29 00:00:00.000,2013-10-09 00:00:00.000
11010,Individual,251,3,8088.040000,2011-06-16 00:00:00.000,2013-10-23 00:00:00.000
11011,Individual,316,3,8133.040000,2011-06-01 00:00:00.000,2013-08-19 00:00:00.000
11012,Individual,106,2,81.260000,2013-08-16 00:00:00.000,2014-03-17 00:00:00.000
11013,Individual,8,2,113.960000,2013-09-13 00:00:00.000,2014-06-23 00:00:00.000
11014,Individual,274,2,138.450000,2013-08-23 00:00:00.000,2013-09-30 00:00:00.000
11015,Individual,376,1,2500.970000,2013-06-20 00:00:00.000,2013-06-20 00:00:00.000
11016,Individual,354,1,2332.280000,2013-07-12 00:00:00.000,2013-07-12 00:00:00.000
11017,Individual,107,3,6434.310000,2011-06-14 00:00:00.000,2014-03-16 00:00:00.000
11018,Individual,97,3,6533.280000,2011-06-19 00:00:00.000,2014-03-26 00:00:00.000
11019,Individual,17,17,882.700000,2013-07-15 00:00:00.000,2014-06-14 00:00:00.000
11020,Individual,396,1,2316.970000,2013-05-31 00:00:00.000,2013-05-31 00:00:00.000
11021,Individual,371,1,2371.960000,2013-06-25 00:00:00.000,2013-06-25 00:00:00.000
11022,Individual,374,1,2322.280000,2013-06-22 00:00:00.000,2013-06-22 00:00:00.000
11023,Individual,15,2,122.240000,2013-07-20 00:00:00.000,2014-06-16 00:00:00.000
11024,Individual,187,2,56.510000,2013-11-27 00:00:00.000,2013-12-26 00:00:00.000
11025,Individual,96,3,6576.800000,2011-06-08 00:00:00.000,2014-03-27 00:00:00.000
11026,Individual,106,3,6575.790000,2011-06-25 00:00:00.000,2014-03-17 00:00:00.000
11027,Individual,97,3,6591.570000,2011-06-18 00:00:00.000,2014-03-26 00:00:00.000
11028,Individual,114,3,6474.620000,2011-06-28 00:00:00.000,2014-03-09 00:00:00.000
11029,Individual,79,3,6565.290000,2011-06-21 00:00:00.000,2014-04-13 00:00:00.000
11030,Individual,81,3,6471.320000,2011-07-08 00:00:00.000,2014-04-11 00:00:00.000
